Tid [h:m:s],Värde
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:54,0
21:35:54,0
21:35:55,0
21:39:21,0
21:39:21,0
21:39:22,0
21:39:22,12
21:39:23,14
21:39:23,15
21:39:24,15
21:39:24,14
21:39:25,0
21:39:26,17
21:39:26,17
21:39:27,14
21:39:27,15
21:39:28,15
21:39:28,13
21:39:29,12
21:39:29,12
21:39:30,11
21:39:31,15
21:39:31,12
21:39:32,11
21:39:32,10
21:39:33,11
21:39:33,12
21:39:34,13
21:39:34,12
21:39:35,13
21:39:35,10
21:39:36,14
21:39:37,14
21:39:37,13
21:39:38,12
21:39:38,12
21:39:39,11
21:39:39,0
21:39:40,10
21:39:41,12
21:39:41,11
21:39:42,10
21:39:42,12
21:39:43,14
21:39:43,13
21:39:44,13
21:39:45,0
21:39:45,0
21:39:46,14
21:39:47,0
21:39:47,0
21:39:48,13
21:39:48,13
21:39:49,0
21:39:50,15
21:39:50,16
21:39:51,13
21:39:51,12
21:39:52,12
21:39:53,12
21:39:53,13
21:39:54,13
21:39:54,14
21:39:55,14
21:39:55,13
21:39:56,12
21:39:56,17
21:39:57,17
21:39:58,13
21:39:58,12
21:39:59,12
21:39:59,15
21:40:00,14
21:40:01,13
21:40:01,12
21:40:02,12
21:40:02,13
21:40:03,12
21:40:04,12
21:40:04,0
21:40:05,9
21:40:05,11
21:40:06,12
21:40:06,25
21:40:07,25
21:40:08,9
21:40:08,11
21:40:09,11
21:40:09,12
21:40:10,13
21:40:10,12
21:40:11,8
21:40:11,0
21:40:12,0
21:40:13,0
21:40:13,12
21:40:14,12
21:40:14,30
21:40:15,0
21:40:15,0
21:40:16,8
21:40:17,10
21:40:17,17
21:40:18,0
21:40:18,0
21:40:19,25
21:40:20,0
21:40:20,12
21:40:21,14
21:40:21,0
21:40:22,0
21:40:22,0
21:40:23,8
21:40:23,11
21:40:24,13
21:40:24,0
21:40:25,17
21:40:26,15
21:40:26,17
21:40:27,28
21:40:27,0
21:40:28,0
21:40:28,0
21:40:29,12
21:40:29,12
21:40:30,11
21:40:31,0
21:40:31,0
21:40:32,0
21:40:33,0
21:40:33,0
